,index,time,latitude,longitude,lsm,Real_tom_lsm
0,6249,1980-01-17,-17.5,55.0,1.0,1.0
1,6626,1980-01-18,-17.5,55.0,1.0,0.0
2,23214,1980-03-02,-17.5,55.0,1.0,1.0
3,23591,1980-03-03,-17.5,55.0,1.0,0.0
4,26607,1980-03-11,-17.5,55.0,1.0,1.0
5,26984,1980-03-12,-17.5,55.0,1.0,0.0
6,140084,1981-01-06,-17.5,55.0,1.0,1.0
7,140461,1981-01-07,-17.5,55.0,1.0,0.0
8,161950,1981-03-05,-17.5,55.0,1.0,0.0
9,172129,1981-04-01,-17.5,55.0,1.0,0.0
10,175145,1981-04-09,-17.5,55.0,1.0,1.0
11,175522,1981-04-10,-17.5,55.0,1.0,0.0
12,287491,1982-02-01,-17.5,55.0,1.0,1.0
13,287868,1982-02-02,-17.5,55.0,1.0,0.0
14,557800,1984-01-19,-17.5,55.0,1.0,0.0
15,561947,1984-01-30,-17.5,55.0,1.0,0.0
16,693520,1985-01-13,-17.5,55.0,1.0,1.0
17,693897,1985-01-14,-17.5,55.0,1.0,1.0
18,694274,1985-01-15,-17.5,55.0,1.0,0.0
19,703322,1985-02-08,-17.5,55.0,1.0,1.0
20,703699,1985-02-09,-17.5,55.0,1.0,1.0
21,704076,1985-02-10,-17.5,55.0,1.0,1.0
22,704453,1985-02-11,-17.5,55.0,1.0,0.0
23,707092,1985-02-18,-17.5,55.0,1.0,1.0
24,707469,1985-02-19,-17.5,55.0,1.0,0.0
25,728958,1985-04-17,-17.5,55.0,1.0,0.0
26,830371,1986-01-11,-17.5,55.0,1.0,0.0
27,839042,1986-02-03,-17.5,55.0,1.0,1.0
28,839419,1986-02-04,-17.5,55.0,1.0,1.0
29,839796,1986-02-05,-17.5,55.0,1.0,1.0
30,840173,1986-02-06,-17.5,55.0,1.0,0.0
31,853368,1986-03-13,-17.5,55.0,1.0,1.0
32,853745,1986-03-14,-17.5,55.0,1.0,0.0
33,1102188,1988-01-02,-17.5,55.0,1.0,0.0
34,1652608,1992-01-01,-17.5,55.0,1.0,0.0
35,1796999,1993-01-18,-17.5,55.0,1.0,1.0
36,1797376,1993-01-19,-17.5,55.0,1.0,0.0
37,1931965,1994-01-11,-17.5,55.0,1.0,1.0
38,1932342,1994-01-12,-17.5,55.0,1.0,0.0
39,1939505,1994-01-31,-17.5,55.0,1.0,1.0
40,1939882,1994-02-01,-17.5,55.0,1.0,0.0
41,1954962,1994-03-13,-17.5,55.0,1.0,1.0
42,1955339,1994-03-14,-17.5,55.0,1.0,0.0
43,2067308,1995-01-05,-17.5,55.0,1.0,0.0
44,2068062,1995-01-07,-17.5,55.0,1.0,0.0
45,2092190,1995-03-12,-17.5,55.0,1.0,1.0
46,2092567,1995-03-13,-17.5,55.0,1.0,0.0
47,2206044,1996-01-08,-17.5,55.0,1.0,1.0
48,2206421,1996-01-09,-17.5,55.0,1.0,1.0
49,2206798,1996-01-10,-17.5,55.0,1.0,0.0
50,2224140,1996-02-25,-17.5,55.0,1.0,0.0
51,2233942,1996-03-22,-17.5,55.0,1.0,0.0
52,2242990,1996-04-15,-17.5,55.0,1.0,1.0
53,2243367,1996-04-16,-17.5,55.0,1.0,1.0
54,2243744,1996-04-17,-17.5,55.0,1.0,0.0
55,2348550,1997-01-20,-17.5,55.0,1.0,1.0
56,2348927,1997-01-21,-17.5,55.0,1.0,1.0
57,2349304,1997-01-22,-17.5,55.0,1.0,1.0
58,2349681,1997-01-23,-17.5,55.0,1.0,0.0
59,2764004,2000-01-27,-17.5,55.0,1.0,1.0
60,2764381,2000-01-28,-17.5,55.0,1.0,1.0
61,2764758,2000-01-29,-17.5,55.0,1.0,0.0
62,2771167,2000-02-15,-17.5,55.0,1.0,1.0
63,2771544,2000-02-16,-17.5,55.0,1.0,0.0
64,2788509,2000-04-01,-17.5,55.0,1.0,1.0
65,2788886,2000-04-02,-17.5,55.0,1.0,0.0
66,2893692,2001-01-05,-17.5,55.0,1.0,1.0
67,2894069,2001-01-06,-17.5,55.0,1.0,0.0
68,3037706,2002-01-22,-17.5,55.0,1.0,0.0
69,3182851,2003-02-11,-17.5,55.0,1.0,1.0
70,3183228,2003-02-12,-17.5,55.0,1.0,1.0
71,3183605,2003-02-13,-17.5,55.0,1.0,0.0
72,3214142,2003-05-05,-17.5,55.0,1.0,1.0
73,3214519,2003-05-06,-17.5,55.0,1.0,1.0
74,3214896,2003-05-07,-17.5,55.0,1.0,0.0
75,3599059,2006-02-19,-17.5,55.0,1.0,0.0
76,3603583,2006-03-03,-17.5,55.0,1.0,1.0
77,3603960,2006-03-04,-17.5,55.0,1.0,1.0
78,3604337,2006-03-05,-17.5,55.0,1.0,0.0
79,3718191,2007-01-01,-17.5,55.0,1.0,0.0
80,3732894,2007-02-09,-17.5,55.0,1.0,0.0
81,3738549,2007-02-24,-17.5,55.0,1.0,1.0
82,3738926,2007-02-25,-17.5,55.0,1.0,1.0
83,3739303,2007-02-26,-17.5,55.0,1.0,1.0
84,3739680,2007-02-27,-17.5,55.0,1.0,0.0
85,3752498,2007-04-02,-17.5,55.0,1.0,0.0
86,3872761,2008-02-15,-17.5,55.0,1.0,1.0
87,3873138,2008-02-16,-17.5,55.0,1.0,0.0
88,4006973,2009-02-05,-17.5,55.0,1.0,1.0
89,4007350,2009-02-06,-17.5,55.0,1.0,0.0
